org_type,district_id,name,address,city,state_abbr,zip,phone,grade_low,grade_high,lea_type_code,state_fips,website,school_count,total_enrollment,diocese_code,primary_state,states,dio_website
district,0100002,Alabama Youth Services,1000 Industrial School Road,Mt Meigs,AL,36057,(334)215-3860,KG,12,1,01,http://www.dys.alabama.gov/school-district.html,0,0,,,,
district,0100005,Albertville City,8379 Us Highway 431,Albertville,AL,35950,(256)891-1183,PK,12,1,01,http://www.albertk12.org,7,0,,,,
district,0100006,Marshall County,12380 Us Highway 431 S,Guntersville,AL,35976,(256)582-3171,PK,12,1,01,http://www.marshallk12.org,17,0,,,,
district,0100007,Hoover City,2810 Metropolitan Way,Hoover,AL,35243,(205)439-1015,PK,12,1,01,http://www.hoovercityschools.net,18,0,,,,
district,0100008,Madison City,211 Celtic Drive,Madison,AL,35758,(256)464-8370,PK,12,1,01,http://www.madisoncity.k12.al.us,13,0,,,,
district,0100009,Al Inst Deaf and Blind,205 E South Street,Talladega,AL,35160,(256)761-3200,KG,12,5,01,http://www.aidb.org,5,0,,,,
district,0100010,Al Sch of Math and Science,1255 Dauphin Street,Mobile,AL,36604,(251)441-2100,10,12,5,01,,0,0,,,,
district,0100011,Leeds City,1517 Hurst Avenue,Leeds,AL,35094,(205)699-5437,PK,12,1,01,http://www.leedsk12.org,4,0,,,,
district,0100012,Boaz City,126 Newt Parker Dr,Boaz,AL,35957,(256)593-8180,PK,12,1,01,http://www.boazk12.org,5,0,,,,
district,0100013,Trussville City,476 Main Street,Trussville,AL,35173,(205)228-3018,PK,12,1,01,http://trussvillecityschools.com,5,0,,,,
district,0100018,Alabama School of Fine Arts,1800 Rev Abraham Woods Jr Blvd,Birmingham,AL,35203,(205)252-9241,07,12,5,01,http://www.asfa.k12.al.us,0,0,,,,
district,0100030,Alexander City,375 Lee Street,Alexander City,AL,35010,(256)234-8698,PK,12,1,01,http://375 LEE ST,5,0,,,,
district,0100060,Andalusia City,1201 C C Baker Avenue,Andalusia,AL,36421,(334)222-3186,PK,12,1,01,http://andalusiacityschools.schoolinsites.com/,3,0,,,,
district,0100090,Anniston City,4804 Mcclellan Boulevard,Anniston,AL,36206,(256)231-5000,PK,12,1,01,http://www.annistonschools.com,6,0,,,,
district,0100100,Arab City,750 Arabian Dr Ne,Arab,AL,35016,(256)586-6011,PK,12,1,01,http://www.arabcityschools.org,4,0,,,,
district,0100120,Athens City,455 Us Highway 31 North,Athens,AL,35611,(256)233-6600,PK,12,1,01,http://www.acs-k12.org,9,0,,,,
district,0100176,Jf Ingram State Technical College,5375 Ingram Rd,Deatsville,AL,36022,(334)514-6147,09,12,5,01,,8,0,,,,
district,0100180,Attalla City,101 Case Avenue Se,Attalla,AL,35954,(256)459-7017,PK,12,1,01,http://www.attalla.k12.al.us,3,0,,,,
district,0100185,Saraland City,4010 Lil Spartan Drive,Saraland,AL,36571,(251)375-5426,PK,12,1,01,http://www.saralandboe.org,4,0,,,,
district,0100188,Chickasaw City,201 N Craft Hwy,Chickasaw,AL,36611,(251)452-2256,PK,12,1,01,http://www.chickasawschools.com/,5,0,,,,
district,0100189,Satsuma City,220 Baker Road,Satsuma,AL,36572,(251)380-8200,PK,12,1,01,http://www.satsumaschools.com,2,0,,,,
district,0100190,Alabaster City,10111 Highway 119,Alabaster,AL,35007,(205)663-8400,PK,12,1,01,http://acsboe.org,5,0,,,,
district,0100194,Pelham City,3160 Pelham Parkway,Pelham,AL,35124,(205)624-3700,PK,12,1,01,http://www.pelhamcityschools.org,4,0,,,,
district,0100195,Pike Road City,9045 Vaughn Road,Montgomery,AL,36117,(334)420-5300,PK,12,1,01,http://prs.school,4,0,,,,
district,0100197,Maef Public Charter Schools,3725 Airport Blvd,Mobile,AL,36608,(251)476-0002,PK,12,7,01,http://605 Bel Air Bvd Suite 21,2,0,,,,
district,0100199,University Charter School,134 University Drive,Livingston,AL,35470,(205)754-3440,PK,12,7,01,http://www.universitycharterschool.org,2,0,,,,
district,0100201,Legacy Prep,1500 Daniel Payne Drive,Birmingham,AL,35214,(205)573-0777,PK,12,7,01,http://www.legacyprepal.org,2,0,,,,
district,0100202,Gulf Shores City,300 East 16th Ave,Gulf Shores,AL,36542,(251)968-9873,PK,12,1,01,http://www.gsboe.org,3,0,,,,
district,0100203,Lead Academy,2897 Eastern Blvd,Montgomery,AL,36116,(334)451-3127,PK,12,7,01,http://www.leadacademyal.org,2,0,,,,
district,0100204,I3 Academy,1 55th Place South,Birmingham,AL,35212,(205)403-5777,PK,12,7,01,http://www.i3academy.org,3,0,,,,
district,0100207,Life Academy,2048 West Fairview Avenue,Montgomery,AL,36108,(646)462-8633,PK,12,7,01,http://www.LIFEAcademyAL.com,1,0,,,,
district,0100208,Breakthrough Charter School,1820 Prier Drive,Marion,AL,35756,(334)247-9577,PK,12,7,01,http://www.breakthroughcharterschool.org,1,0,,,,
district,0100209,Ivy Classical Academy,1000 Vista Point Blvd,Prattville,AL,36067,(334)595-5580,KG,12,7,01,http://www.ivyclassical.com,1,0,,,,
district,0100210,Auburn City,855 E Samford Ave,Auburn,AL,36830,(334)887-2100,PK,12,1,01,http://www.auburnschools.org,14,0,,,,
district,0100211,Magic City Acceptance Academy,75 Bagby Drive,Homewood,AL,35209,(205)961-3204,PK,12,7,01,http://www.magiccityacceptanceacademy.org/,1,0,,,,
district,0100212,Alabama School of Cyber Technology and Engineering,229 Wynn Drive Nw,Huntsville,AL,35805,(256)489-3700,09,12,5,01,http://www.ascte.org,0,0,,,,
district,0100213,Alabama Aerospace and Aviation,1414 2nd Avenue North,Bessemer,AL,35020,(205)538-0702,09,12,7,01,http://alaahs.org,1,0,,,,
district,0100240,Autauga County,153 W 4th St,Prattville,AL,36067,(334)365-5706,PK,12,1,01,http://acboe.net,16,0,,,,
district,0100270,Baldwin County,2600 North Hand Ave,Bay Minette,AL,36507,(251)937-0308,PK,12,1,01,http://www.bcbe.org,45,0,,,,
district,0100300,Barbour County,168 Western Bypass,Clayton,AL,36016,(334)367-8280,PK,12,1,01,http://www.barbourcountyschools.org,3,0,,,,
district,0100330,Bessemer City,1621 5th Ave N,Bessemer,AL,35020,(205)432-3000,PK,12,1,01,http://www.bessk12.org,9,0,,,,
district,0100360,Bibb County,721 Walnut Street,Centreville,AL,35042,(205)926-9881,PK,12,1,01,http://www.bibbed.org,9,0,,,,
district,0100390,Birmingham City,2015 Park Place North,Birmingham,AL,35203,(205)231-4220,PK,12,1,01,http://www.bhamcityschools.org,49,0,,,,
district,0100420,Blount County,415 5th Avenue East,Oneonta,AL,35121,(205)775-1950,PK,12,1,01,http://www.blountboe.net,17,0,,,,
district,0100450,Brewton City,811 Belleville Ave,Brewton,AL,36426,(251)867-8400,PK,12,1,01,http://www.brewtoncityschools.org/,3,0,,,,
district,0100480,Bullock County,108 Hardaway Avenue,Union Springs,AL,36089,(334)513-1416,KG,12,1,01,http://108 Hardaway Avenue West,4,0,,,,
district,0100510,Butler County,211 School Highlands Road,Greenville,AL,36037,(334)382-2665,PK,12,1,01,http://www.butlerco.k12.al.us,7,0,,,,
district,0100540,Calhoun County,4400 Mcclellan Blvd,Anniston,AL,36206,(256)741-7400,PK,12,1,01,http://www.calhouncountyschools.com,19,0,,,,
district,0100600,Chambers County,1298 Avc Drive,Lafayette,AL,36862,(334)864-9343,PK,12,1,01,http://www.chambersk12.org,10,0,,,,
district,0100630,Cherokee County,130 E Main St,Centre,AL,35960,(256)927-3362,PK,12,1,01,http://www.cherokeek12.org,8,0,,,,
district,0100660,Chilton County,1705 Lay Dam Rd,Clanton,AL,35045,(205)280-3000,PK,12,1,01,http://www.chilton.k12.al.us,14,0,,,,
district,0100690,Choctaw County,107 Tom Orr Dr,Butler,AL,36904,(205)459-3031,PK,12,1,01,http://www.choctawal.org,4,0,,,,
district,0100720,Clarke County,155 W Cobb St,Grove Hill,AL,36451,(251)250-2155,PK,12,1,01,http://www.clarkecountyschools.org,7,0,,,,
district,0100750,Clay County,62 Court Square,Ashland,AL,36251,(256)396-1475,PK,12,1,01,http://www.claycoboe.org,5,0,,,,
district,0100780,Cleburne County,141 Davenport Drive,Heflin,AL,36264,(256)463-5624,PK,12,1,01,http://www.cleburneschools.net,9,0,,,,
district,0100810,Coffee County,400 Reddoch Hill Rd,Elba,AL,36323,(334)897-5016,PK,12,1,01,http://www.coffeecountyschools.org,5,0,,,,
