website,site_title,fax_numbers,found_on,errors
http://www.kelso.wednet.edu/rosevalley,Client Challenge,Not found,,
http://www.nwesd.org/,NWESD 189 – Together We Can,Not found,,Error fetching http://www.nwesd.org/contact: HTTPError; Error fetching http://www.nwesd.org/contactus: HTTPError; Error fetching http://www.nwesd.org/directory: HTTPError
http://www.asd5.org,Home - Aberdeen School District,360-538-2000; 360-538-2014; 360-528-2000; (360) 538-2002; (360) 538-2010; (360) 538-2018; (360) 538-2003; (360) 538-2037,http://www.asd5.org; http://www.asd5.org/our-district; http://www.asd5.org/our-district/collective-bargaining; http://www.asd5.org/departments/business-office/annual-financial-reports; http://www.asd5.org/our-district/district-calendars; http://www.asd5.org/our-district/district-forms; http://www.asd5.org/our-district/district-forms/accidentincident-forms; http://www.asd5.org/contact-us; http://www.asd5.org/directory,Error fetching http://www.asd5.org/contact: HTTPError; Error fetching http://www.asd5.org/contactus: HTTPError
http://csh.asd103.org,,Not found,,Homepage error: HTTPError: 403 Client Error: Forbidden for url: http://csh.asd103.org/
http://www.asd.wednet.edu/whs,Client Challenge,Not found,,
http://www.auburn.wednet.edu/olympic,Home - Olympic Middle School,(253) 931-4966; (253) 939-2753; (253) 931-4900; (253) 931-8006; 253-931-4712,http://www.auburn.wednet.edu/olympic; https://www.auburn.wednet.edu/our-district/2025-26-school-bell-schedules; https://www.auburn.wednet.edu/district-departments/student-learning/student-learning/graduation-requirements; https://www.auburn.wednet.edu/district-departments/health-services; https://www.auburn.wednet.edu/district-departments/student-learning/student-learning/highly-capable-programs; http://www.auburn.wednet.edu/contact-us,Error fetching http://www.auburn.wednet.edu/our-school: HTTPError; Error fetching http://www.auburn.wednet.edu/for-families-students/counseling/counselor-contact-information: HTTPError; Error fetching http://www.auburn.wednet.edu/contact: HTTPError; Error fetching http://www.auburn.wednet.edu/contactus: HTTPError; Error fetching http://www.auburn.wednet.edu/directory: HTTPError
http://www.auburn.wednet.edu/Domain/28,Home - Terminal Park Elementary School,(253) 931-4978; (253) 804-4532; (253) 931-4900; (253) 931-8006; 253-931-4712; (253) 453-5582; 253-931-4950; 425-276-1735; 253-887-3678; 425-272-5573,http://www.auburn.wednet.edu/Domain/28; https://www.auburn.wednet.edu/our-district/2025-26-school-bell-schedules; https://www.auburn.wednet.edu/district-departments/health-services; https://www.auburn.wednet.edu/district-departments/student-learning/student-learning/highly-capable-programs; https://www.auburn.wednet.edu/district-departments/student-learning/student-learning/interpreter-and-translation-services; https://www.auburn.wednet.edu/district-departments/communications/stay-connected-variety-of-ways-to-engage-our-schools; http://www.auburn.wednet.edu/contact-us,Error fetching http://www.auburn.wednet.edu/our-school: HTTPError; Error fetching http://www.auburn.wednet.edu/contact: HTTPError; Error fetching http://www.auburn.wednet.edu/contactus: HTTPError; Error fetching http://www.auburn.wednet.edu/directory: HTTPError
http://www.auburn.wednet.edu/Domain/22,Home - Hazelwood Elementary School,(253) 931-4740; (253) 804-4520; (253) 931-4900; (253) 931-8006; 253-931-4712; (253) 453-5582; 253-931-4950; 425-276-1735; 253-887-3678; 425-272-5573,http://www.auburn.wednet.edu/Domain/22; https://www.auburn.wednet.edu/our-district/2025-26-school-bell-schedules; https://www.auburn.wednet.edu/district-departments/health-services; https://www.auburn.wednet.edu/district-departments/student-learning/student-learning/highly-capable-programs; https://www.auburn.wednet.edu/district-departments/student-learning/student-learning/interpreter-and-translation-services; http://www.auburn.wednet.edu/for-staff; http://www.auburn.wednet.edu/contact-us,Error fetching http://www.auburn.wednet.edu/our-school: HTTPError; Error fetching http://www.auburn.wednet.edu/contact: HTTPError; Error fetching http://www.auburn.wednet.edu/contactus: HTTPError; Error fetching http://www.auburn.wednet.edu/directory: HTTPError
http://www.auburn.wednet.edu/Domain/18,Home - Arthur Jacobsen Elementary School,(253) 931-4960; (253) 931-4954; (253) 931-4900; (253) 931-8006; 253-931-4712,http://www.auburn.wednet.edu/Domain/18; https://www.auburn.wednet.edu/our-district/2025-26-school-bell-schedules; https://www.auburn.wednet.edu/district-departments/health-services; https://www.auburn.wednet.edu/district-departments/student-learning/student-learning/highly-capable-programs; http://www.auburn.wednet.edu/for-staff; http://www.auburn.wednet.edu/contact-us,Error fetching http://www.auburn.wednet.edu/our-school: HTTPError; Error fetching http://www.auburn.wednet.edu/contact: HTTPError; Error fetching http://www.auburn.wednet.edu/contactus: HTTPError; Error fetching http://www.auburn.wednet.edu/directory: HTTPError
http://myrvla.org,"Rainier Valley Leadership Academy - Charter School in Seattle, WA",Not found,,Error fetching http://myrvla.org/contact: HTTPError; Error fetching http://myrvla.org/contact-us: HTTPError; Error fetching http://myrvla.org/contactus: HTTPError; Error fetching http://myrvla.org/directory: HTTPError
